Author,Year,Demographics,History,ClinicalCondition,Diagnostics,Intervention,PostCondition,AdverseEvents,Lessons,Total,Overall RoB
Study 1,2015,0,0,0,0,0,0,0,0,0,High
Study 2,2016,1,0,0,0,0,0,0,0,1,High
Study 3,2017,0,1,0,0,0,0,0,0,1,High
Study 4,2018,0,0,1,0,0,0,0,0,1,High
Study 5,2019,0,0,0,1,0,0,0,0,1,High
Study 6,2020,0,0,0,0,1,0,0,0,1,High
Study 7,2021,0,0,0,0,0,1,0,0,1,High
Study 8,2022,0,0,0,0,0,0,1,0,1,High
Study 9,2023,0,0,0,0,0,0,0,1,1,High
Study 10,2024,1,0,0,0,0,0,0,0,1,High
Study 11,2015,1,1,0,0,0,0,0,0,2,High
Study 12,2016,1,0,1,0,0,0,0,0,2,High
Study 13,2017,1,0,0,1,0,0,0,0,2,High
Study 14,2018,1,0,0,0,1,0,0,0,2,High
Study 15,2019,1,0,0,0,0,1,0,0,2,High
Study 16,2020,1,0,0,0,0,0,1,0,2,High
Study 17,2021,1,0,0,0,0,0,0,1,2,High
Study 18,2022,0,1,1,0,0,0,0,0,2,High
Study 19,2023,0,1,0,1,0,0,0,0,2,High
Study 20,2024,0,1,0,0,1,0,0,0,2,High
Study 21,2015,1,1,1,0,0,0,0,0,3,High
Study 22,2016,1,1,0,1,0,0,0,0,3,High
Study 23,2017,1,1,0,0,1,0,0,0,3,High
Study 24,2018,1,1,0,0,0,1,0,0,3,High
Study 25,2019,1,1,0,0,0,0,1,0,3,High
Study 26,2020,1,1,0,0,0,0,0,1,3,High
Study 27,2021,1,0,1,1,0,0,0,0,3,High
Study 28,2022,1,0,1,0,1,0,0,0,3,High
Study 29,2023,1,0,1,0,0,1,0,0,3,High
Study 30,2024,1,0,1,0,0,0,1,0,3,High
Study 31,2015,1,1,1,1,0,0,0,0,4,High
Study 32,2016,1,1,1,0,1,0,0,0,4,High
Study 33,2017,1,1,1,0,0,1,0,0,4,High
Study 34,2018,1,1,1,0,0,0,1,0,4,High
Study 35,2019,1,1,1,0,0,0,0,1,4,High
Study 36,2020,0,0,0,1,1,1,1,1,5,Low
Study 37,2021,0,0,1,0,1,1,1,1,5,Low
Study 38,2022,0,0,1,1,0,1,1,1,5,Low
Study 39,2023,0,0,1,1,1,0,1,1,5,Low
Study 40,2024,0,0,1,1,1,1,0,1,5,Low
Study 41,2015,0,0,1,1,1,1,1,0,5,Low
Study 42,2016,0,1,0,0,1,1,1,1,5,Low
Study 43,2017,0,1,0,1,0,1,1,1,5,Low
Study 44,2018,0,1,0,1,1,0,1,1,5,Low
Study 45,2019,0,1,0,1,1,1,0,1,5,Low
Study 46,2020,0,1,0,1,1,1,1,0,5,Low
Study 47,2021,0,1,1,0,0,1,1,1,5,Low
Study 48,2022,0,1,1,0,1,0,1,1,5,Low
Study 49,2023,0,1,1,0,1,1,0,1,5,Low
Study 50,2024,0,1,1,0,1,1,1,0,5,Low
Study 51,2015,0,1,1,1,0,0,1,1,5,Low
Study 52,2016,0,1,1,1,0,1,0,1,5,Low
Study 53,2017,0,1,1,1,0,1,1,0,5,Low
Study 54,2018,0,1,1,1,1,0,0,1,5,Low
Study 55,2019,0,1,1,1,1,0,1,0,5,Low
Study 56,2020,0,0,1,1,1,1,1,1,6,Low
Study 57,2021,0,1,0,1,1,1,1,1,6,Low
Study 58,2022,0,1,1,0,1,1,1,1,6,Low
Study 59,2023,0,1,1,1,0,1,1,1,6,Low
Study 60,2024,0,1,1,1,1,0,1,1,6,Low
Study 61,2015,0,1,1,1,1,1,0,1,6,Low
Study 62,2016,0,1,1,1,1,1,1,0,6,Low
Study 63,2017,1,0,0,1,1,1,1,1,6,Low
Study 64,2018,1,0,1,0,1,1,1,1,6,Low
Study 65,2019,1,0,1,1,0,1,1,1,6,Low
Study 66,2020,1,0,1,1,1,0,1,1,6,Low
Study 67,2021,1,0,1,1,1,1,0,1,6,Low
Study 68,2022,1,0,1,1,1,1,1,0,6,Low
Study 69,2023,1,1,0,0,1,1,1,1,6,Low
Study 70,2024,1,1,0,1,0,1,1,1,6,Low
Study 71,2015,1,1,0,1,1,0,1,1,6,Low
Study 72,2016,1,1,0,1,1,1,0,1,6,Low
Study 73,2017,1,1,0,1,1,1,1,0,6,Low
Study 74,2018,1,1,1,0,0,1,1,1,6,Low
Study 75,2019,1,1,1,0,1,0,1,1,6,Low
Study 76,2020,0,1,1,1,1,1,1,1,7,Low
Study 77,2021,1,0,1,1,1,1,1,1,7,Low
Study 78,2022,1,1,0,1,1,1,1,1,7,Low
Study 79,2023,1,1,1,0,1,1,1,1,7,Low
Study 80,2024,1,1,1,1,0,1,1,1,7,Low
Study 81,2015,1,1,1,1,1,0,1,1,7,Low
Study 82,2016,1,1,1,1,1,1,0,1,7,Low
Study 83,2017,1,1,1,1,1,1,1,0,7,Low
Study 84,2018,0,1,1,1,1,1,1,1,7,Low
Study 85,2019,1,0,1,1,1,1,1,1,7,Low
Study 86,2020,1,1,0,1,1,1,1,1,7,Low
Study 87,2021,1,1,1,0,1,1,1,1,7,Low
Study 88,2022,1,1,1,1,0,1,1,1,7,Low
Study 89,2023,1,1,1,1,1,0,1,1,7,Low
Study 90,2024,1,1,1,1,1,1,0,1,7,Low
Study 91,2015,1,1,1,1,1,1,1,0,7,Low
Study 92,2016,1,1,1,1,1,1,1,1,8,Low
Study 93,2017,1,1,1,1,1,1,1,1,8,Low
Study 94,2018,1,1,1,1,1,1,1,1,8,Low
Study 95,2019,1,1,1,1,1,1,1,1,8,Low
Study 96,2020,1,1,1,1,1,1,1,1,8,Low
Study 97,2021,1,1,1,1,1,1,1,1,8,Low
Study 98,2022,1,1,1,1,1,1,1,1,8,Low
Study 99,2023,1,1,1,1,1,1,1,1,8,Low
Study 100,2024,1,1,1,1,1,1,1,1,8,Low
