Author,Year,InclusionCriteria,StandardMeasurement,ValidIdentification,ConsecutiveInclusion,CompleteInclusion,Demographics,ClinicalInfo,Outcomes,SiteDescription,Statistics,Total,Overall RoB
Study 1,2015,1,1,1,1,1,1,1,1,1,1,10,Low
Study 2,2016,1,1,1,1,0,1,1,1,0,1,8,Low
Study 3,2017,1,1,1,0,1,1,0,1,1,1,8,Low
Study 4,2018,1,1,0,1,1,0,1,1,1,0,7,High
Study 5,2019,1,0,1,1,0,1,1,0,1,1,7,High
Study 6,2020,0,1,1,1,1,0,1,1,0,1,7,High
Study 7,2021,1,1,0,1,0,1,0,1,1,1,7,High
Study 8,2022,1,0,1,0,1,1,1,0,1,0,6,High
Study 9,2023,0,1,1,1,0,0,1,1,1,0,6,High
Study 10,2024,1,0,0,1,1,1,0,1,0,1,6,High
Study 11,2025,0,1,0,1,1,0,1,0,1,1,6,High
Study 12,2015,1,0,1,0,0,1,1,1,0,0,5,High
Study 13,2016,0,1,1,0,1,0,1,0,1,0,5,High
Study 14,2017,1,0,0,1,0,1,0,1,1,0,5,High
Study 15,2018,0,1,0,0,1,1,0,1,0,1,5,High
Study 16,2019,1,1,0,0,0,0,1,1,1,0,5,High
Study 17,2020,0,0,1,1,0,1,0,0,1,1,5,High
Study 18,2021,1,0,1,0,1,0,0,1,0,0,4,High
Study 19,2022,0,1,0,1,0,0,1,0,1,0,4,High
Study 20,2023,0,0,1,0,1,1,0,1,0,0,4,High
Study 21,2024,1,0,0,0,0,1,1,0,1,0,4,High
Study 22,2025,0,1,1,0,0,0,0,1,0,1,4,High
Study 23,2015,0,0,0,1,1,0,1,0,0,0,3,High
Study 24,2016,1,0,0,0,1,0,0,1,0,1,3,High
Study 25,2017,0,1,0,0,0,1,0,0,1,0,3,High
Study 26,2018,0,0,1,0,0,0,1,0,0,1,3,High
Study 27,2019,1,1,1,1,1,1,1,1,1,1,10,Low
Study 28,2020,1,1,1,1,0,1,1,1,0,1,8,Low
Study 29,2021,1,1,1,0,1,1,0,1,1,1,8,Low
Study 30,2022,1,1,0,1,1,0,1,1,1,0,7,High
Study 31,2023,1,0,1,1,0,1,1,0,1,1,7,High
Study 32,2024,0,1,1,1,1,0,1,1,0,1,7,High
Study 33,2025,1,1,0,1,0,1,0,1,1,1,7,High
Study 34,2015,1,0,1,0,1,1,1,0,1,0,6,High
Study 35,2016,0,1,1,1,0,0,1,1,1,0,6,High
Study 36,2017,1,0,0,1,1,1,0,1,0,1,6,High
Study 37,2018,0,1,0,1,1,0,1,0,1,1,6,High
Study 38,2019,1,0,1,0,0,1,1,1,0,0,5,High
Study 39,2020,0,1,1,0,1,0,1,0,1,0,5,High
Study 40,2021,1,0,0,1,0,1,0,1,1,0,5,High
