Outcome,Risk_of_Bias,Inconsistency,Indirectness,Imprecision,Publication_Bias,Overall_Certainty
Mortality,Serious,Serious,Not Serious,Serious,Not Serious,Very Low
Infection,Serious,Very Serious,Not Serious,Not Serious,Not Serious,Moderate
Hospitalization,Not Serious,Not Serious,Serious,Not Serious,Not Serious,Moderate
Adverse Events,Very Serious,Not Serious,Not Serious,Serious,Not Serious,Low
Quality of Life,Not Serious,Very Serious,Serious,Serious,Not Serious,Very Low
Outcome 6,Serious,Not Serious,Serious,Serious,Not Serious,Low
Outcome 7,Very Serious,Serious,Not Serious,Not Serious,Not Serious,Very Low
Outcome 8,Not Serious,Not Serious,Serious,Serious,Not Serious,Moderate
Outcome 9,Serious,Very Serious,Not Serious,Serious,Not Serious,Very Low
Outcome 10,Not Serious,Serious,Serious,Not Serious,Not Serious,Low
Outcome 11,Very Serious,Not Serious,Serious,Serious,Not Serious,Very Low
Outcome 12,Serious,Serious,Serious,Not Serious,Not Serious,Very Low
Outcome 13,Not Serious,Very Serious,Not Serious,Serious,Not Serious,Very Low
Outcome 14,Very Serious,Serious,Serious,Serious,Not Serious,Very Low
Outcome 15,Serious,Not Serious,Not Serious,Serious,Not Serious,Low
Outcome 16,Not Serious,Serious,Not Serious,Serious,Not Serious,Low
Outcome 17,Serious,Very Serious,Serious,Not Serious,Not Serious,Very Low
Outcome 18,Very Serious,Not Serious,Not Serious,Serious,Not Serious,Low
Outcome 19,Not Serious,Serious,Serious,Serious,Not Serious,Very Low
Outcome 20,Serious,Not Serious,Serious,Not Serious,Not Serious,Moderate
Outcome 21,Very Serious,Very Serious,Not Serious,Serious,Not Serious,Very Low
Outcome 22,Not Serious,Not Serious,Serious,Serious,Not Serious,Low
Outcome 23,Serious,Serious,Serious,Not Serious,Not Serious,Very Low
Outcome 24,Very Serious,Not Serious,Not Serious,Not Serious,Not Serious,High
Outcome 25,Not Serious,Very Serious,Serious,Serious,Not Serious,Very Low
Outcome 26,Serious,Serious,Not Serious,Serious,Not Serious,Very Low
Outcome 27,Very Serious,Not Serious,Serious,Not Serious,Not Serious,Low
Outcome 28,Not Serious,Serious,Not Serious,Serious,Not Serious,Low
Outcome 29,Serious,Very Serious,Serious,Serious,Not Serious,Very Low
Outcome 30,Very Serious,Not Serious,Not Serious,Serious,Not Serious,Low
Outcome 31,Not Serious,Serious,Serious,Not Serious,Not Serious,Moderate
Outcome 32,Serious,Not Serious,Serious,Serious,Not Serious,Very Low
Outcome 33,Very Serious,Very Serious,Not Serious,Not Serious,Not Serious,Very Low
Outcome 34,Not Serious,Not Serious,Serious,Serious,Not Serious,Low
Outcome 35,Serious,Serious,Serious,Not Serious,Not Serious,Very Low
Outcome 36,Very Serious,Not Serious,Not Serious,Serious,Not Serious,Low
Outcome 37,Not Serious,Very Serious,Serious,Serious,Not Serious,Very Low
Outcome 38,Serious,Serious,Not Serious,Not Serious,Not Serious,Moderate
Outcome 39,Very Serious,Not Serious,Serious,Serious,Not Serious,Very Low
Outcome 40,Not Serious,Serious,Not Serious,Serious,Not Serious,Low
Outcome 41,Serious,Very Serious,Serious,Not Serious,Not Serious,Very Low
Outcome 42,Very Serious,Not Serious,Not Serious,Serious,Not Serious,Low
Outcome 43,Not Serious,Serious,Serious,Serious,Not Serious,Very Low
Outcome 44,Serious,Not Serious,Serious,Not Serious,Not Serious,Moderate
Outcome 45,Very Serious,Very Serious,Not Serious,Serious,Not Serious,Very Low
Outcome 46,Not Serious,Not Serious,Serious,Serious,Not Serious,Low
Outcome 47,Serious,Serious,Serious,Not Serious,Not Serious,Very Low
Outcome 48,Very Serious,Not Serious,Not Serious,Not Serious,Not Serious,High
Outcome 49,Not Serious,Very Serious,Serious,Serious,Not Serious,Very Low
Outcome 50,Serious,Serious,Not Serious,Serious,Not Serious,Very Low
Outcome 51,Very Serious,Not Serious,Serious,Not Serious,Not Serious,Low
Outcome 52,Not Serious,Serious,Not Serious,Serious,Not Serious,Low
Outcome 53,Serious,Very Serious,Serious,Serious,Not Serious,Very Low
Outcome 54,Very Serious,Not Serious,Not Serious,Serious,Not Serious,Low
Outcome 55,Not Serious,Serious,Serious,Not Serious,Not Serious,Moderate
Outcome 56,Serious,Not Serious,Serious,Serious,Not Serious,Very Low
Outcome 57,Very Serious,Very Serious,Not Serious,Not Serious,Not Serious,Very Low
Outcome 58,Not Serious,Not Serious,Serious,Serious,Not Serious,Low
Outcome 59,Serious,Serious,Serious,Not Serious,Not Serious,Very Low
Outcome 60,Very Serious,Not Serious,Not Serious,Serious,Not Serious,Low
Outcome 61,Not Serious,Very Serious,Serious,Serious,Not Serious,Very Low
Outcome 62,Serious,Serious,Not Serious,Not Serious,Not Serious,Moderate
Outcome 63,Very Serious,Not Serious,Serious,Serious,Not Serious,Very Low
Outcome 64,Not Serious,Serious,Not Serious,Serious,Not Serious,Low
Outcome 65,Serious,Very Serious,Serious,Not Serious,Not Serious,Very Low
Outcome 66,Very Serious,Not Serious,Not Serious,Serious,Not Serious,Low
Outcome 67,Not Serious,Serious,Serious,Serious,Not Serious,Very Low
Outcome 68,Serious,Not Serious,Serious,Not Serious,Not Serious,Moderate
Outcome 69,Very Serious,Very Serious,Not Serious,Serious,Not Serious,Very Low
Outcome 70,Not Serious,Not Serious,Serious,Serious,Not Serious,Low
Outcome 71,Serious,Serious,Serious,Not Serious,Not Serious,Very Low
Outcome 72,Very Serious,Not Serious,Not Serious,Not Serious,Not Serious,High
Outcome 73,Not Serious,Very Serious,Serious,Serious,Not Serious,Very Low
Outcome 74,Serious,Serious,Not Serious,Serious,Not Serious,Very Low
Outcome 75,Very Serious,Not Serious,Serious,Not Serious,Not Serious,Low
Outcome 76,Not Serious,Serious,Not Serious,Serious,Not Serious,Low
Outcome 77,Serious,Very Serious,Serious,Serious,Not Serious,Very Low
