Review,Study Eligibility Criteria,Identification & Selection of Studies,Data Collection & Study Appraisal,Synthesis & Findings,Overall RoB
Study 1 2015,Low,High,Unclear,Low,High
Study 2 2016,Low,Low,Low,Low,Low
Study 3 2017,Low,High,Unclear,Low,High
Study 4 2018,Low,Low,Low,Low,Low
Study 5 2019,High,Low,Unclear,High,High
Study 6 2020,Unclear,High,Low,Unclear,Moderate
Study 7 2021,Low,Unclear,High,Low,Moderate
Study 8 2022,High,Low,Low,Unclear,High
Study 9 2023,Unclear,High,Low,Low,Moderate
Study 10 2024,Low,Low,High,Unclear,Low
Study 11 2015,High,Unclear,Low,High,High
Study 12 2016,Unclear,Low,High,Low,Moderate
Study 13 2017,Low,High,Low,Unclear,High
Study 14 2018,High,Low,Unclear,Low,High
Study 15 2019,Unclear,High,Low,High,Moderate
Study 16 2020,Low,Unclear,High,Low,Low
Study 17 2021,High,Low,Low,High,High
Study 18 2022,Unclear,High,Unclear,Low,Moderate
Study 19 2023,Low,Low,High,Unclear,Low
Study 20 2024,High,Unclear,Low,High,High
Study 21 2015,Unclear,High,Low,Low,Moderate
Study 22 2016,Low,Unclear,High,High,Low
Study 23 2017,High,Low,Unclear,Low,High
Study 24 2018,Unclear,High,Low,High,Moderate
Study 25 2019,Low,Low,High,Unclear,Low
Study 26 2020,High,Unclear,Low,Low,High
Study 27 2021,Unclear,High,Low,High,Moderate
Study 28 2022,Low,Unclear,High,Low,Low
Study 29 2023,High,Low,Unclear,High,High
Study 30 2024,Unclear,High,Low,Unclear,Moderate
Study 31 2015,Low,Low,High,Low,Low
Study 32 2016,High,Unclear,Low,High,High
Study 33 2017,Unclear,High,Low,Unclear,Moderate
Study 34 2018,Low,Unclear,High,Low,Low
Study 35 2019,High,Low,Unclear,High,High
Study 36 2020,Unclear,High,Low,Low,Moderate
Study 37 2021,Low,Low,High,Unclear,Low
Study 38 2022,High,Unclear,Low,High,High
Study 39 2023,Unclear,High,Low,Low,Moderate
Study 40 2024,Low,Unclear,High,High,Low
Study 41 2015,High,Low,Unclear,Low,High
Study 42 2016,Unclear,High,Low,High,Moderate
Study 43 2017,Low,Low,High,Unclear,Low
Study 44 2018,High,Unclear,Low,Low,High
Study 45 2019,Unclear,High,Low,High,Moderate
Study 46 2020,Low,Unclear,High,Low,Low
Study 47 2021,High,Low,Unclear,High,High
Study 48 2022,Unclear,High,Low,Unclear,Moderate
Study 49 2023,Low,Low,High,Low,Low
Study 50 2024,High,Unclear,Low,High,High
Study 51 2015,Unclear,High,Low,Low,Moderate
Study 52 2016,Low,Unclear,High,High,Low
Study 53 2017,High,Low,Unclear,Low,High
Study 54 2018,Unclear,High,Low,High,Moderate
Study 55 2019,Low,Low,High,Unclear,Low
Study 56 2020,High,Unclear,Low,Low,High
Study 57 2021,Unclear,High,Low,High,Moderate
Study 58 2022,Low,Unclear,High,Low,Low
Study 59 2023,High,Low,Unclear,High,High
Study 60 2024,Unclear,High,Low,Unclear,Moderate
Study 61 2015,Low,Low,High,Low,Low
Study 62 2016,High,Unclear,Low,High,High
Study 63 2017,Unclear,High,Low,Unclear,Moderate
Study 64 2018,Low,Unclear,High,Low,Low
Study 65 2019,High,Low,Unclear,High,High
Study 66 2020,Unclear,High,Low,Low,Moderate
Study 67 2021,Low,Low,High,Unclear,Low
Study 68 2022,High,Unclear,Low,High,High
Study 69 2023,Unclear,High,Low,Low,Moderate
Study 70 2024,Low,Unclear,High,High,Low
Study 71 2015,High,Low,Unclear,Low,High
Study 72 2016,Unclear,High,Low,High,Moderate
Study 73 2017,Low,Low,High,Unclear,Low
Study 74 2018,High,Unclear,Low,Low,High
Study 75 2019,Unclear,High,Low,High,Moderate
Study 76 2020,Low,Unclear,High,Low,Low
Study 77 2021,High,Low,Unclear,High,High
Study 78 2022,Unclear,High,Low,Unclear,Moderate
Study 79 2023,Low,Low,High,Low,Low
Study 80 2024,High,Unclear,Low,High,High
Study 81 2015,Unclear,High,Low,Low,Moderate
Study 82 2016,Low,Unclear,High,High,Low
Study 83 2017,High,Low,Unclear,Low,High
Study 84 2018,Unclear,High,Low,High,Moderate
Study 85 2019,Low,Low,High,Unclear,Low
Study 86 2020,High,Unclear,Low,Low,High
Study 87 2021,Unclear,High,Low,High,Moderate
Study 88 2022,Low,Unclear,High,Low,Low
Study 89 2023,High,Low,Unclear,High,High
Study 90 2024,Unclear,High,Low,Unclear,Moderate
Study 91 2015,Low,Low,High,Low,Low
Study 92 2016,High,Unclear,Low,High,High
Study 93 2017,Unclear,High,Low,Unclear,Moderate
Study 94 2018,Low,Unclear,High,Low,Low
Study 95 2019,High,Low,Unclear,High,High
Study 96 2020,Unclear,High,Low,Low,Moderate
Study 97 2021,Low,Low,High,Unclear,Low
Study 98 2022,High,Unclear,Low,High,High
Study 99 2023,Unclear,High,Low,Low,Moderate
Study 100 2024,Low,Unclear,High,High,Low
